trialid,simTime.ho,event.order,simTime.start,ppid,n_back,ttc_criticality.x,event,ho.rt,rt,ttc_criticality.y,braking_rt_faster,automation.response,collision,max_long_jerk,max_lat_jerk,max_long,mean_long,max_lat,sd_latacc,sd_steer,sdlp,mean_lat_acc,mean_decel,sd_yaw_automation,sd_pitch_automation,sd_yaw_manual,sd_pitch_manual
10_FALSE_4_3,672.166667,1,670.566667,10,FALSE,3,4,1.59999999999991,1.66666599999996,3,TRUE,brake,FALSE,-7.631839,1.168165,-9.988443,0.0296332494444444,0.890032,0.12862144707396,3.23483242326723,0.168041764912715,0.0826541866666667,-2.83665895490196,11.1795646359143,8.20912319949088,11.5323147160049,7.975220009307
10_FALSE_6_5,1011.833333,2,1009.883333,10,FALSE,5,6,1.95000000000005,1.21666700000003,5,TRUE,brake,FALSE,-8.594017,1.050447,-8.971926,-0.00506476111111112,1.050139,0.347360404201997,1.58664955467126,0.117393436190494,0.300467079444444,-2.18706774096386,16.4194652136824,5.23112749466112,7.9771612704709,4.83083668504398
10_FALSE_8_3,1273.383333,3,1271.75,10,FALSE,3,8,1.63333299999999,1.5,3,TRUE,brake,FALSE,-8.032295,0.79069,-10.391309,-0.0100497638888889,0.793892,0.263256815117451,1.61133491073474,0.148078268752239,0.236110531111111,-2.73032067944251,14.3354656473569,4.94971950544875,15.438065702941,6.72745838471531
10_FALSE_9_5,1407.9,4,1401.216667,10,FALSE,5,9,6.68333300000018,0.666666000000078,5,TRUE,brake,FALSE,-10.552899,0.311393,-10.69651,-0.0188709683333333,0.315285,0.0960678929940004,0.612981628140295,0.10973164721307,0.0718285061111111,-1.22540528143713,17.6179168222375,5.55720912808203,11.2612062770186,6.51090874094493
10_TRUE_10_5,1693.016667,4,1691.983333,10,TRUE,5,10,1.0333340000002,0.900000000000091,5,TRUE,brake,FALSE,-9.705022,1.449246,-10.030479,-0.0224915277777778,1.206547,0.325810167891134,2.06690742833106,0.0969576107490709,0.260987629444444,-1.08410160645933,15.5521864908646,3.8205596769548,10.6427112824287,5.54404792188861
10_TRUE_2_3,612.866667,1,611.6,10,TRUE,3,2,1.26666699999998,1.16666699999996,3,TRUE,brake,FALSE,-9.7519,0.6615,-10.132077,-0.0209617638888889,0.663327,0.129495550116747,0.984109431407398,0.0677010702382363,0.08329466,-2.86529974321503,8.6520671224062,3.56815962416121,9.40655460137078,6.25444600439316
10_TRUE_4_5,894.583333,2,869.35,10,TRUE,5,4,25.233333,0.783332999999971,5,TRUE,brake,FALSE,-9.947229,1.019813,-10.210422,-0.0295094927777778,1.019874,0.31402702494813,1.24125863186039,0.119101352203923,0.207156059444444,-1.10918486541245,10.382916045157,3.72281023479323,12.4435924049194,5.13435764592262
10_TRUE_6_3,1135.1,3,1130.35,10,TRUE,3,6,4.75,1.11666700000001,3,TRUE,brake,FALSE,-9.964463,1.181734,-10.344604,-0.0375564116666667,1.182043,0.389699609278745,1.53038417030727,0.192239948457199,0.292812775555556,-1.86777936263736,7.06352537179868,3.00233194054659,10.9069329220894,6.05615666455175
11_FALSE_1_5,409.85,1,407.35,11,FALSE,5,1,2.5,0.849999999999966,5,TRUE,brake,FALSE,-4.731138,0.580784,-5.046517,-0.00541028388888889,0.445874,0.104921761958518,0.573113444654247,0.110810890559355,0.0791029616666667,-0.834560253819037,2.73177874238238,2.22601946874339,8.40512252091169,4.75749220267705
11_FALSE_2_3,541.15,2,538.833333,11,FALSE,3,2,2.31666699999994,0.666666999999961,3,TRUE,brake,FALSE,-9.831246,1.179818,-10.21335,0.0307895027777778,1.179544,0.407737932486051,1.74734573232375,0.177130160006529,0.283447323888889,-3.47211193638677,6.05867390248366,2.59845661069493,5.35750495028456,5.51714877622659
11_FALSE_4_5,757.733333,3,756.583333,11,FALSE,5,4,1.14999999999998,0.766666999999984,5,TRUE,brake,FALSE,-5.538294,0.86712,-5.782276,-0.00916597166666667,0.876774,0.278983178307466,1.66268170628849,0.212113679460596,0.244142846666667,-1.663421,5.97772886315169,2.83765274972441,12.5406288790994,6.10727926499
11_FALSE_7_3,1231.983333,4,1230.8,11,FALSE,3,7,1.18333299999995,1.16666699999996,3,TRUE,brake,FALSE,-10.102984,0.361694,-10.480423,0.0533238866666667,0.358994,0.10608002247887,0.884700654096991,0.243497191771273,0.0779404933333333,-2.95237744016227,7.04955413704499,1.6556861777223,8.36035676565649,4.96294786517635
11_TRUE_1_3,274.45,1,273.133333,11,TRUE,3,1,1.316667,0.766666999999984,3,TRUE,brake,FALSE,-9.890735,0.317871,-10.265824,-0.0270320038888889,0.192307,0.0609039452340791,0.705589949493778,0.0808400446553935,0.0429589283333333,-3.63060313031915,3.60342269948031,2.41751029134928,10.1932265565731,5.41457594619674
11_TRUE_2_5,404.066667,2,402.6,11,TRUE,5,2,1.46666699999997,0.766666999999984,5,TRUE,brake,FALSE,-9.753891,1.229207,-10.024538,-0.0883618533333333,1.228967,0.326254630862966,1.56802459393002,0.194495039279534,0.223251767777778,-2.30932819266055,4.10610215356793,3.27507856869815,10.3448884421138,4.81611387494405
11_TRUE_4_5,623.333333,3,621.15,11,TRUE,5,4,2.18333300000006,0.766666999999984,5,TRUE,brake,FALSE,-6.972507,0.801052,-7.247639,0.0633636816666667,0.801023,0.280004400477101,1.784917229565,0.170478080595145,0.253938361666667,-2.02480027826087,2.38504422638181,2.53463069442155,9.22971359982376,4.3210998771896
